value,timestamp
47.92,2020-04-02T16:59:40.000Z
50.90,2020-04-02T17:04:40.000Z
49.79,2020-04-02T17:09:40.000Z
52.66,2020-04-02T17:14:40.000Z
49.07,2020-04-02T17:19:40.000Z
50.94,2020-04-02T17:24:40.000Z
51.45,2020-04-02T17:29:40.000Z
53.00,2020-04-02T17:34:40.000Z
52.48,2020-04-02T17:39:40.000Z
53.81,2020-04-02T17:44:40.000Z
53.02,2020-04-02T17:49:40.000Z
50.86,2020-04-02T17:54:40.000Z
51.17,2020-04-02T17:59:40.000Z
54.77,2020-04-02T18:04:40.000Z
52.73,2020-04-02T18:09:40.000Z
54.59,2020-04-02T18:14:40.000Z
54.38,2020-04-02T18:19:41.000Z
53.45,2020-04-02T18:24:41.000Z
54.41,2020-04-02T18:29:41.000Z
53.48,2020-04-02T18:34:41.000Z
53.28,2020-04-02T18:39:41.000Z
55.23,2020-04-02T18:44:41.000Z
55.26,2020-04-02T18:49:41.000Z
57.10,2020-04-02T18:54:41.000Z
56.70,2020-04-02T18:59:41.000Z
55.98,2020-04-02T19:04:41.000Z
55.36,2020-04-02T19:09:41.000Z
56.38,2020-04-02T19:14:41.000Z
57.24,2020-04-02T19:19:41.000Z
58.47,2020-04-02T19:24:41.000Z
54.77,2020-04-02T19:29:41.000Z
