sensorID,value,timestamp,longitude,latitude,hight
5d5d1209953683001a3f93f9,44.20,2020-08-27T17:12:55.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,44.20,2020-08-27T17:17:55.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,43.16,2020-08-27T17:22:56.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,42.99,2020-08-27T17:27:56.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,43.63,2020-08-27T17:32:56.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,44.65,2020-08-27T17:37:56.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,45.09,2020-08-27T17:42:56.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,46.53,2020-08-27T17:47:56.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,46.33,2020-08-27T17:52:56.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,47.35,2020-08-27T17:57:56.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,47.97,2020-08-27T18:02:56.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,48.27,2020-08-27T18:07:56.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,48.47,2020-08-27T18:12:56.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,48.60,2020-08-27T18:17:56.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,49.49,2020-08-27T18:22:56.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,49.62,2020-08-27T18:27:56.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,49.82,2020-08-27T18:32:56.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,50.04,2020-08-27T18:37:57.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,50.34,2020-08-27T18:42:57.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,50.54,2020-08-27T18:47:57.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,51.46,2020-08-27T18:52:57.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,52.09,2020-08-27T18:57:57.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,52.49,2020-08-27T19:02:57.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,53.92,2020-08-27T19:07:57.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,55.13,2020-08-27T19:12:57.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,56.65,2020-08-27T19:17:57.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,57.98,2020-08-27T19:22:57.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,58.62,2020-08-27T19:27:57.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,59.01,2020-08-27T19:32:57.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,59.85,2020-08-27T19:37:57.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,60.75,2020-08-27T19:42:57.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,60.08,2020-08-27T19:47:57.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,58.97,2020-08-27T19:52:57.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,59.00,2020-08-27T19:57:57.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,59.30,2020-08-27T20:02:58.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,59.43,2020-08-27T20:07:58.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,59.23,2020-08-27T20:12:58.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,59.43,2020-08-27T20:17:58.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,59.66,2020-08-27T20:22:58.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,60.16,2020-08-27T20:27:58.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,60.60,2020-08-27T20:32:58.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,60.89,2020-08-27T20:37:58.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,61.00,2020-08-27T20:42:58.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,61.00,2020-08-27T20:47:58.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,61.83,2020-08-27T20:52:58.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,62.34,2020-08-27T20:57:58.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,62.54,2020-08-27T21:02:58.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,63.07,2020-08-27T21:07:58.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,63.27,2020-08-27T21:12:58.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,63.27,2020-08-27T21:17:58.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,62.97,2020-08-27T21:22:59.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,63.07,2020-08-27T21:27:59.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,63.07,2020-08-27T21:32:59.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,63.07,2020-08-27T21:37:59.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,63.07,2020-08-27T21:42:59.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,63.50,2020-08-27T21:47:59.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,63.20,2020-08-27T21:52:59.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,64.21,2020-08-27T21:57:59.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,64.81,2020-08-27T22:02:59.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,65.22,2020-08-27T22:07:59.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,64.72,2020-08-27T22:12:59.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,63.81,2020-08-27T22:17:59.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,62.90,2020-08-27T22:23:00.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,62.09,2020-08-27T22:28:00.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,61.69,2020-08-27T22:33:00.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,61.69,2020-08-27T22:38:00.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,61.39,2020-08-27T22:43:00.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,61.29,2020-08-27T22:48:00.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,61.18,2020-08-27T22:53:00.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,61.18,2020-08-27T22:58:00.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,61.49,2020-08-27T23:03:00.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,61.29,2020-08-27T23:08:00.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,61.36,2020-08-27T23:13:00.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,61.46,2020-08-27T23:18:00.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,61.46,2020-08-27T23:23:00.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,62.29,2020-08-27T23:28:01.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,62.40,2020-08-27T23:33:01.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,62.40,2020-08-27T23:38:01.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,62.19,2020-08-27T23:43:01.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,62.19,2020-08-27T23:48:01.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,61.99,2020-08-27T23:53:01.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,61.99,2020-08-27T23:58:01.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,61.69,2020-08-28T00:03:01.000Z,8.71,51.75,102.00
