value,createdAt
18.63,2019-09-05T13:22:44.000Z
18.62,2019-09-05T13:22:14.000Z
18.62,2019-09-05T13:21:44.000Z
18.62,2019-09-05T13:21:14.000Z
18.60,2019-09-05T13:20:44.000Z
18.63,2019-09-05T13:20:14.000Z
18.63,2019-09-05T13:19:43.000Z
18.62,2019-09-05T13:19:13.000Z
18.62,2019-09-05T13:18:43.000Z
18.62,2019-09-05T13:18:13.000Z
18.62,2019-09-05T13:17:43.000Z
18.62,2019-09-05T13:17:13.000Z
18.62,2019-09-05T13:16:43.000Z
18.62,2019-09-05T13:16:13.000Z
18.62,2019-09-05T13:15:43.000Z
18.62,2019-09-05T13:15:13.000Z
18.60,2019-09-05T13:14:42.000Z
18.62,2019-09-05T13:14:12.000Z
18.60,2019-09-05T13:13:42.000Z
18.60,2019-09-05T13:13:12.000Z
18.59,2019-09-05T13:12:42.000Z
18.59,2019-09-05T13:12:12.000Z
18.60,2019-09-05T13:11:42.000Z
18.58,2019-09-05T13:11:12.000Z
18.58,2019-09-05T13:10:42.000Z
18.56,2019-09-05T13:10:11.000Z
18.56,2019-09-05T13:09:41.000Z
18.59,2019-09-05T13:09:11.000Z
18.58,2019-09-05T13:08:41.000Z
18.58,2019-09-05T13:08:11.000Z
18.58,2019-09-05T13:07:41.000Z
18.58,2019-09-05T13:07:11.000Z
18.58,2019-09-05T13:06:41.000Z
18.58,2019-09-05T13:06:11.000Z
18.58,2019-09-05T13:05:40.000Z
18.56,2019-09-05T13:05:10.000Z
18.56,2019-09-05T13:04:40.000Z
18.59,2019-09-05T13:04:10.000Z
18.58,2019-09-05T13:03:40.000Z
18.60,2019-09-05T13:03:10.000Z
18.58,2019-09-05T13:02:40.000Z
18.58,2019-09-05T13:02:10.000Z
18.58,2019-09-05T13:01:40.000Z
18.59,2019-09-05T13:01:09.000Z
18.58,2019-09-05T13:00:39.000Z
18.58,2019-09-05T13:00:09.000Z
18.60,2019-09-05T12:59:39.000Z
18.58,2019-09-05T12:59:09.000Z
18.59,2019-09-05T12:58:39.000Z
18.59,2019-09-05T12:58:09.000Z
18.58,2019-09-05T12:57:39.000Z
18.58,2019-09-05T12:57:09.000Z
